id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
534421,Bavoryně,239,151,150,55,0,0,0,2,7,3,0,18,0,2,0,0,0,2,8,0,4,5,11,11,0,16,6,0,0
531057,Beroun,14 804,9 145,9 076,2 433,8,11,3,12,651,279,12,1 363,61,78,1,6,17,13,433,21,205,140,800,641,4,1 290,576,2,16
531073,Běštín,262,158,157,40,1,0,0,1,11,2,0,27,1,3,0,0,0,0,2,0,3,3,26,2,0,12,21,0,2
531081,Broumy,743,491,489,144,0,0,0,0,54,11,0,62,3,5,2,3,0,4,20,0,8,6,32,22,1,76,35,0,1
531090,Březová,246,168,168,38,0,0,0,0,14,5,0,30,1,1,0,0,0,0,21,0,0,2,25,7,0,12,12,0,0
531103,Bubovice,372,270,269,65,0,0,1,1,11,9,0,44,3,0,0,1,2,0,10,0,6,4,24,28,0,50,8,0,2
534145,Bykoš,183,121,121,37,0,0,0,0,13,1,0,13,1,0,0,0,1,0,6,0,0,4,12,5,0,12,16,0,0
531120,Bzová,364,238,235,76,0,0,0,0,25,5,0,23,4,3,0,1,0,0,11,0,7,1,24,13,1,23,18,0,0
531138,Cerhovice,909,593,591,201,0,0,0,3,33,18,0,80,2,9,0,0,1,1,44,3,14,5,44,20,0,52,60,0,1
531154,Drozdov,604,420,418,127,0,0,0,3,58,14,0,58,2,3,0,0,0,0,25,1,4,5,28,11,1,37,41,0,0
