id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Společ.proti výst.v Prok.údolí,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Volte Pr.Blok www.cibulka.net,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
500054,Praha 1,21 556,14 167,14 036,1 654,14,13,1,2,392,954,5,44,2 770,133,41,1,12,11,7,774,6,34,241,514,617,2 783,0,12,2 332,657,3,9
500224,Praha 10,79 964,52 277,51 895,10 856,35,34,37,53,2 485,2 398,9,67,8 137,477,230,17,30,69,53,2 334,15,162,1 050,1 212,2 998,6 497,8,50,9 355,3 175,12,40
547034,Praha 11,58 353,39 306,39 116,10 213,29,18,31,53,2 310,1 622,11,57,5 100,373,192,17,23,86,35,1 548,13,137,846,757,2 674,3 598,5,30,6 763,2 513,14,48
547107,Praha 12,42 205,28 561,28 428,6 803,21,13,21,30,1 774,1 162,11,41,4 095,279,160,11,17,62,25,1 146,18,151,601,544,1 875,2 729,1,23,5 034,1 750,7,24
539694,Praha 13,42 687,28 376,28 221,5 678,27,15,18,31,1 273,1 253,7,43,4 444,269,123,12,19,62,29,1 409,92,79,742,631,1 735,3 173,1,15,5 410,1 601,6,24
547361,Praha 14,32 506,20 139,20 018,4 581,25,16,12,30,929,803,5,34,3 004,183,124,7,21,55,23,817,10,96,470,401,1 544,2 013,3,14,3 561,1 193,5,39
547387,Praha 15,24 276,16 282,16 200,3 928,21,18,8,15,713,579,2,22,2 544,142,67,13,8,36,21,702,6,53,364,318,1 162,1 624,4,13,2 886,905,9,17
539601,Praha 16,6 143,4 377,4 346,927,6,3,2,9,181,170,0,6,865,43,28,6,1,9,6,210,8,6,89,55,211,509,0,6,772,211,1,6
547174,Praha 17,18 223,11 882,11 826,2 751,7,14,8,13,712,478,1,23,1 659,123,50,2,7,29,14,552,5,33,270,228,872,1 088,2,5,2 115,727,3,35
547417,Praha 18,12 641,8 295,8 235,2 001,7,5,3,7,397,286,6,12,1 224,69,48,5,2,25,11,348,1,33,233,168,625,817,0,3,1 372,520,2,5
547344,Praha 19,4 815,3 496,3 471,730,2,0,1,2,175,159,3,8,630,35,25,1,4,9,3,199,1,13,77,60,237,325,0,1,546,212,2,11
500089,Praha 2,32 641,21 007,20 814,2 875,14,18,8,8,587,1 173,7,37,3 859,203,58,11,11,38,19,1 086,8,47,472,688,1 098,3 577,4,20,3 871,991,11,15
538213,Praha 20,11 243,7 986,7 944,1 843,9,2,2,8,544,373,1,21,1 293,95,72,5,5,21,11,373,0,20,134,137,507,688,1,6,1 303,458,1,11
